GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
KaddemProject,tn.esprit.kaddemproject.controllers,DepartementRestController,0,3,0,0,0,1,0,1,0,1
KaddemProject,tn.esprit.kaddemproject.controllers,EtudiantRestController,18,6,0,0,4,1,3,1,3,1
KaddemProject,tn.esprit.kaddemproject.controllers,ContratRestController,13,6,0,0,2,1,2,1,2,1
KaddemProject,tn.esprit.kaddemproject.controllers,EquipeRestController,0,3,0,0,0,1,0,1,0,1
KaddemProject,tn.esprit.kaddemproject.controllers,UniversiteRestController,13,6,0,0,3,1,2,1,2,1
KaddemProject,tn.esprit.kaddemproject.entities,Contrat,111,3,0,0,9,1,15,1,15,1
KaddemProject,tn.esprit.kaddemproject.entities,Etudiant,69,3,0,0,9,1,14,1,14,1
KaddemProject,tn.esprit.kaddemproject.entities,Universite,29,3,0,0,5,1,6,1,6,1
KaddemProject,tn.esprit.kaddemproject.entities,Niveau,0,34,0,0,0,2,0,1,0,1
KaddemProject,tn.esprit.kaddemproject.entities,Specialite,0,44,0,0,0,2,0,1,0,1
KaddemProject,tn.esprit.kaddemproject.entities,Departement,29,3,0,0,5,1,6,1,6,1
KaddemProject,tn.esprit.kaddemproject.entities,Equipe,49,3,0,0,7,1,10,1,10,1
KaddemProject,tn.esprit.kaddemproject.entities,Option,0,44,0,0,0,2,0,1,0,1
KaddemProject,tn.esprit.kaddemproject.entities,DetailEquipe,39,3,0,0,6,1,8,1,8,1
KaddemProject,tn.esprit.kaddemproject.services,IEquipeServiceImpl,81,7,11,0,21,2,11,2,5,2
KaddemProject,tn.esprit.kaddemproject.services,IEtudiantServiceImp,59,15,4,0,15,1,5,1,3,1
KaddemProject,tn.esprit.kaddemproject.services,IDepartementServiceImpl,0,3,0,0,0,1,0,1,0,1
KaddemProject,tn.esprit.kaddemproject.services,IContratServiceImp,100,47,8,0,17,15,9,5,5,5
KaddemProject,tn.esprit.kaddemproject.services,IUniversiteServiceImpl,363,13,46,0,59,2,36,2,13,2
KaddemProject,tn.esprit.kaddemproject.util,HelperClass,14,0,0,0,3,0,2,0,2,0
KaddemProject,tn.esprit.kaddemproject.aspects,LoggingAspect,30,7,0,0,6,2,2,2,2,2
KaddemProject,tn.esprit.kaddemproject.aspects,PerformanceAspect,63,7,0,0,15,2,2,2,2,2
KaddemProject,tn.esprit.kaddemproject.configuration,OpenAPIConfig,0,71,0,0,0,20,0,6,0,6
KaddemProject,tn.esprit.kaddemproject,KaddemProjectApplication,5,7,0,0,2,2,1,2,1,2
KaddemProject,tn.esprit.kaddemproject.generic,GenericController,24,3,0,0,5,1,5,1,5,1
KaddemProject,tn.esprit.kaddemproject.generic,IGenericServiceImp,36,3,2,0,8,1,6,1,5,1
